id,label
MQDQ-288,non_christian
MQDQ-315,non_christian
MQDQ-309,non_christian
MQDQ-318,non_christian
MQDQ-310,non_christian
MQDQ-317,non_christian
MQDQ-312,non_christian
MQDQ-319,non_christian
MQDQ-70,non_christian
MQDQ-37,non_christian
MQDQ-73,non_christian
MQDQ-329,non_christian
MQDQ-323,non_christian
MQDQ-337,non_christian
MQDQ-503,non_christian
MQDQ-311,non_christian
MQDQ-327,non_christian
MQDQ-68,non_christian
MQDQ-474,non_christian
MQDQ-502,non_christian
MQDQ-488,non_christian
MQDQ-487,non_christian
MQDQ-489,non_christian
IT-LAT0405,non_christian
MQDQ-153,non_christian
MQDQ-511,non_christian
MQDQ-333,non_christian
MQDQ-332,non_christian
MQDQ-139,non_christian
MQDQ-184,non_christian
MQDQ-294,non_christian
MQDQ-214,non_christian
MQDQ-509,non_christian
MQDQ-567,non_christian
MQDQ-635,non_christian
IT-LAT0955,non_christian
MQDQ-238,non_christian
MQDQ-633,non_christian
IT-LAT0093,non_christian
MQDQ-522,non_christian
MQDQ-494,non_christian
MQDQ-386,non_christian
MQDQ-331,non_christian
MQDQ-47,non_christian
MQDQ-156,non_christian
MQDQ-521,non_christian
IT-LAT0922_11,non_christian
IT-LAT0992,non_christian
MQDQ-7,non_christian
IT-LAT0128,non_christian
IT-LAT0922_1,non_christian
IT-LAT0134,non_christian
IT-LAT0133,non_christian
IT-LAT0137,non_christian
IT-LAT0922_4,non_christian
IT-LAT0922_12,non_christian
IT-LAT0096,non_christian
MQDQ-626,non_christian
MQDQ-225,non_christian
MQDQ-231,non_christian
MQDQ-419,non_christian
MQDQ-459,non_christian
IT-LAT0254,non_christian
IT-LAT0047,non_christian
IT-LAT0535,non_christian
IT-LAT0320,non_christian
IT-LAT0140,non_christian
IT-LAT0255,non_christian
MQDQ-519,non_christian
IT-LAT0029,non_christian
MQDQ-186,non_christian
MQDQ-239,non_christian
MQDQ-137,non_christian
MQDQ-133,non_christian
MQDQ-126,non_christian
MQDQ-358,non_christian
MQDQ-356,non_christian
MQDQ-518,non_christian
MQDQ-385,non_christian
MQDQ-391,non_christian
MQDQ-497,non_christian
MQDQ-495,non_christian
IT-LAT0051,non_christian
MQDQ-265,non_christian
MQDQ-129,non_christian
MQDQ-542,non_christian
MQDQ-131,non_christian
MQDQ-359,non_christian
MQDQ-135,non_christian
MQDQ-264,non_christian
MQDQ-247,non_christian
MQDQ-302,non_christian
IT-LAT0278,non_christian
MQDQ-540,non_christian
MQDQ-104,non_christian
IT-LAT0239,non_christian
MQDQ-430,non_christian
IT-LAT0083,non_christian
MQDQ-433,non_christian
MQDQ-341,non_christian
IT-LAT0072,non_christian
IT-LAT0071,non_christian
IT-LAT0078,non_christian
IT-LAT0045,non_christian
MQDQ-397,non_christian
MQDQ-394,non_christian
MQDQ-404,non_christian
MQDQ-399,non_christian
MQDQ-29,non_christian
MQDQ-57,non_christian
MQDQ-163,non_christian
MQDQ-213,non_christian
IT-LAT0266,non_christian
MQDQ-267,non_christian
MQDQ-460,non_christian
MQDQ-171,non_christian
MQDQ-235,non_christian
LC-10,non_christian
IT-LAT0079,non_christian
MQDQ-170,non_christian
IT-LAT0588,non_christian
MQDQ-297,non_christian
MQDQ-295,non_christian
MQDQ-450,non_christian
MQDQ-205,non_christian
MQDQ-203,non_christian
MQDQ-473,non_christian
MQDQ-448,non_christian
MQDQ-195,non_christian
MQDQ-198,non_christian
MQDQ-199,non_christian
MQDQ-201,non_christian
MQDQ-554,non_christian
MQDQ-403,non_christian
MQDQ-490,non_christian
IT-LAT0346,non_christian
IT-LAT0111,non_christian
IT-LAT0934,non_christian
MQDQ-465,non_christian
MQDQ-471,non_christian
MQDQ-472,non_christian
MQDQ-395,non_christian
IT-LAT0534_3,non_christian
IT-LAT0120,non_christian
MQDQ-223,non_christian
IT-LAT0054,non_christian
IT-LAT0534_2,non_christian
IT-LAT0406,non_christian
IT-LAT0360,non_christian
MQDQ-240,non_christian
MQDQ-335,non_christian
MQDQ-138,non_christian
MQDQ-439,non_christian
IT-LAT0062,christian
IT-LAT0256,christian
MQDQ-107,non_christian
IT-LAT0896,non_christian
MQDQ-304,non_christian
IT-LAT0914,non_christian
IT-LAT0747,christian
IT-LAT0746,christian
MQDQ-39,christian
MQDQ-41,christian
MQDQ-40,christian
IT-LAT0204,non_christian
MQDQ-233,non_christian
IT-LAT0607,christian
IT-LAT0865,christian
IT-LAT0059,christian
IT-LAT0895,non_christian
MQDQ-232,non_christian
MQDQ-234,non_christian
IT-LAT0665,non_christian
MQDQ-449,non_christian
MQDQ-241,non_christian
IT-LAT0264,christian
MQDQ-447,christian
MQDQ-1,christian
IT-LAT0268,christian
MQDQ-166,non_christian
MQDQ-591,non_christian
IT-LAT0233,non_christian
MQDQ-114,non_christian
MQDQ-569,non_christian
MQDQ-573,non_christian
IT-LAT0353,non_christian
MQDQ-10,non_christian
LC-11,non_christian
IT-LAT0238,non_christian
IT-LAT0776,christian
MQDQ-603,non_christian
MQDQ-605,christian
MQDQ-597,non_christian
MQDQ-183,christian
IT-LAT0880,christian
MQDQ-562,non_christian
MQDQ-479,non_christian
MQDQ-481,non_christian
MQDQ-480,non_christian
IT-LAT0574_1,non_christian
IT-LAT0574_6,non_christian
IT-LAT0574_3,non_christian
MQDQ-116,non_christian
IT-LAT0609,christian
IT-LAT0001_54,christian
IT-LAT0001_60,christian
IT-LAT0001_26,christian
IT-LAT0001_69,christian
IT-LAT0001_33,christian
IT-LAT0001_61,christian
IT-LAT0001_2,christian
IT-LAT0001_51,christian
IT-LAT0001_8,christian
IT-LAT0001_59,christian
IT-LAT0001_28,christian
IT-LAT0001_38,christian
IT-LAT0001_31,christian
IT-LAT0001_50,christian
IT-LAT0001_16,christian
IT-LAT0574_2,non_christian
IT-LAT0574_7,non_christian
IT-LAT0793,christian
MQDQ-123,non_christian
IT-LAT0189,non_christian
MQDQ-280,christian
IT-LAT0316,non_christian
MQDQ-375,christian
MQDQ-165,non_christian
MQDQ-366,christian
IT-LAT0843,christian
IT-LAT0410,christian
IT-LAT0403,christian
MQDQ-22,non_christian
IT-LAT0272,non_christian
LC-12,non_christian
MQDQ-52,christian
MQDQ-49,christian
MQDQ-48,christian
MQDQ-242,christian
MQDQ-278,christian
MQDQ-381,christian
LC-16,non_christian
MQDQ-55,christian
IT-LAT0612,christian
MQDQ-417,non_christian
IT-LAT0768,christian
IT-LAT0919,non_christian
MQDQ-361,christian
MQDQ-189,christian
MQDQ-364,christian
MQDQ-220,non_christian
MQDQ-120,christian
MQDQ-66,christian
MQDQ-2,non_christian
MQDQ-418,non_christian
MQDQ-53,christian
MQDQ-285,christian
MQDQ-360,christian
MQDQ-423,christian
MQDQ-566,christian
MQDQ-564,christian
IT-LAT0904,christian
MQDQ-445,christian
MQDQ-444,non_christian
MQDQ-415,christian
MQDQ-608,christian
MQDQ-59,christian
MQDQ-76,non_christian
MQDQ-75,non_christian
MQDQ-83,non_christian
MQDQ-79,christian
MQDQ-80,non_christian
IT-LAT0978,christian
MQDQ-182,christian
MQDQ-277,non_christian
IT-LAT0917,non_christian
MQDQ-623,christian
MQDQ-78,non_christian
MQDQ-618,christian
MQDQ-619,christian
MQDQ-42,non_christian
MQDQ-43,non_christian
MQDQ-215,non_christian
MQDQ-348,non_christian
MQDQ-347,non_christian
IT-LAT0990,christian
IT-LAT0435,christian
MQDQ-416,christian
IT-LAT0990_5,christian
IT-LAT0990_6,christian
MQDQ-210,christian
IT-LAT0243,non_christian
IT-LAT0482,christian
MQDQ-44,non_christian
MQDQ-523,christian
IT-LAT0783,christian
IT-LAT0990_4,christian
MQDQ-34,christian
MQDQ-30,christian
MQDQ-188,christian
IT-LAT0908,christian
MQDQ-624,christian
MQDQ-146,christian
MQDQ-144,christian
MQDQ-161,christian
IT-LAT0921,non_christian
IT-LAT0357,non_christian
IT-LAT0461,christian
IT-LAT0386,christian
IT-LAT0597,christian
IT-LAT0973,non_christian
IT-LAT0974,christian
IT-LAT0910,non_christian
IT-LAT0903,christian
IT-LAT0869,christian
IT-LAT0511,non_christian
IT-LAT0507,non_christian
IT-LAT0514,non_christian
IT-LAT0723,non_christian
IT-LAT0743,christian
IT-LAT0831,non_christian
IT-LAT0689,christian
IT-LAT0291,christian
IT-LAT0814,christian
IT-LAT0443,non_christian
IT-LAT0954,non_christian
IT-LAT0644,non_christian
IT-LAT0371,non_christian
IT-LAT0879,christian
IT-LAT0620,non_christian
IT-LAT0483,non_christian
IT-LAT0924,christian
IT-LAT0667,non_christian
IT-LAT0559,non_christian
IT-LAT0569,non_christian
IT-LAT0587,non_christian
IT-LAT0465,non_christian
IT-LAT0640,non_christian
IT-LAT0874,christian
IT-LAT0590,non_christian
IT-LAT0629,non_christian
IT-LAT0579,non_christian
IT-LAT0771,christian
IT-LAT0573,non_christian
IT-LAT0582,christian
IT-LAT0583,non_christian
IT-LAT0985,non_christian
IT-LAT0986,christian
IT-LAT0983,non_christian
IT-LAT0763,christian
IT-LAT0027,christian
IT-LAT0246,christian
IT-LAT0058,christian
IT-LAT0750,christian
IT-LAT0471,christian
MQDQ-151,christian
MQDQ-180,christian
MQDQ-372,christian
MQDQ-365,christian
MQDQ-382,christian
MQDQ-287,christian
MQDQ-622,christian
MQDQ-352,christian
IT-LAT0011,christian
MQDQ-95,christian
MQDQ-229,non_christian
MQDQ-237,non_christian
MQDQ-316,non_christian
MQDQ-72,non_christian
MQDQ-74,non_christian
MQDQ-175,non_christian
IT-LAT0372,non_christian
MQDQ-493,non_christian
MQDQ-338,non_christian
IT-LAT0127,non_christian
IT-LAT0922_2,non_christian
IT-LAT0119,non_christian
IT-LAT0384,non_christian
MQDQ-501,non_christian
IT-LAT0922_3,non_christian
IT-LAT0922_14,non_christian
IT-LAT0155,non_christian
IT-LAT0240,non_christian
IT-LAT0029_3,non_christian
MQDQ-246,non_christian
MQDQ-505,non_christian
MQDQ-36,non_christian
MQDQ-504,non_christian
MQDQ-106,non_christian
MQDQ-517,non_christian
MQDQ-248,non_christian
MQDQ-249,non_christian
MQDQ-262,non_christian
MQDQ-257,non_christian
MQDQ-258,non_christian
MQDQ-46,non_christian
MQDQ-108,non_christian
MQDQ-109,non_christian
MQDQ-178,non_christian
IT-LAT0632,non_christian
IT-LAT0237,non_christian
IT-LAT0230,non_christian
MQDQ-296,non_christian
MQDQ-508,non_christian
MQDQ-263,non_christian
MQDQ-207,non_christian
MQDQ-204,non_christian
MQDQ-446,non_christian
IT-LAT0588_2,non_christian
MQDQ-556,non_christian
IT-LAT0349,non_christian
IT-LAT0341,non_christian
MQDQ-115,non_christian
MQDQ-467,non_christian
MQDQ-411,non_christian
MQDQ-405,non_christian
MQDQ-408,non_christian
IT-LAT0347,non_christian
IT-LAT0201,non_christian
IT-LAT0893,non_christian
MQDQ-289,non_christian
MQDQ-158,non_christian
MQDQ-499,non_christian
MQDQ-500,non_christian
IT-LAT0286,non_christian
MQDQ-588,non_christian
MQDQ-601,non_christian
MQDQ-578,non_christian
MQDQ-16,non_christian
LC-4,non_christian
IT-LAT0364,non_christian
IT-LAT0329,non_christian
LC-5,non_christian
IT-LAT0336,non_christian
MQDQ-125,non_christian
MQDQ-441,non_christian
MQDQ-98,non_christian
MQDQ-62,non_christian
MQDQ-85,non_christian
MQDQ-86,non_christian
IT-LAT0252,non_christian
